path,labels,total,n_samples,sampling_rate,duration
nep_3154_3397306352,तेन्जिङ हिलारी विमानस्थल वा लुक्ला विमानस्थल नेपालको पूर्वाञ्चल विकास क्षेत्रमा पर्ने विमानस्थल हो,98,124943,22050,5
ee563f50c3,नेपालको मध्यपश्चिमाञ्चल विकास क्षेत्रको कर्णाली अञ्चल मुगु जिल्लामा अवस्थित गाउँ विकास समिति हो।,96,112455,22050,5
nep_3614_1465070313,हिमालयन व्हाइट हाउस अन्तर्राष्ट्रिय उच्च माध्यमिक विद्यालयले यसपालिको बास्केटबल ट्रफी जितेको छ,94,129434,22050,5
nep_0258_1082186644,नेपाली सङ्गीतमा पुर्‍याएको योगदानका लागि सङ्गीत उद्योगले सम्झिरहनु पर्ने एउटा नामकोइलीदेवी हो,93,123583,22050,5
nep_2139_5970015519,बैङ्क अफ काठमाण्डु लिमिटेडले नेपालको आर्थिक विकास तथा वित्तीय क्षेत्रमा राम्रो कार्य गरेको छ,92,121209,22050,5
nep_0546_4792342171,पञ्चकन्या मध्यमाञ्चल विकास क्षेत्र नारायणी अञ्चलको चितवन जिल्लामा अवस्थित गाँउ विकास समिति,90,129971,22050,5
5d320ce0b3,आरोहणका रङ्गकर्मी सुनिल पोखरेल नेपाली रङ्गमञ्चका प्रतिवद्ध सिर्जनशील नाट्यकर्मी मानिन्छन्।,90,130095,22050,5
nep_0258_9867218411,शैलेन्द्र मोहन प्रधान बाबु सङ्गीत संयोजक हुन् र उहाँको जन्म हेटौँडाको स्कुल रोडमा भएको हो,89,128861,22050,5
nep_0258_6318800215,पाण्डव सुनुवारले नेपाली साङ्गीतिक दुनियाँमा हत्तपत्त नमेटिने पहिचान मात्र बनाएका थिएनन्,87,117645,22050,5
0e729ceb48,तनमनले हिंसाको त्याग गर्नुपर्छ र कुनै किसिमको कुभलो चिताउनु हुँदैन र गर्नु पनि हुँदैन।,86,130095,22050,5
nep_6587_9726549399,एटी एन्ड टी दोश्रो ठुलो मोबाइल फोनको प्रदायक हो भने टेलिफोनको सबैभन्दा ठुलो प्रदायक हो,86,131654,22050,5
nep_6587_3342601207,भेराइजन कम्युनिकेसनले सञ्चार क्षेत्रमा निकै प्रगति गरेको कुरा प्रगति विवरणमा जनाएको छ,85,126053,22050,5
nep_3154_8780639029,मेटलाइफ कम्पनीले यसबाहेक अन्य एक दर्जनभन्दा बढी प्रोडक्टमार्फत सेवा प्रदान गरिरहेको छ,85,118968,22050,5
nep_0258_9939583579,सुवि शाहद्वारा सङ्कलित धादिङको पञ्चैबाजाको धुन रेडियो नेपालबाट विजयादशमीभर बजाइन्थ्यो,85,127788,22050,5
nep_3154_5711305620,उसले पहिले सिभिएस केयरमार्कमा काम गरेका थिए भने पछि अर्को कम्पनीमा काम गर्न सुरु गरे,84,115579,22050,5
nep_0546_1932438217,शीरमेमोरीयल अस्पतालमा देखा परेको समस्या यो भन्दा अघि कुनै पनि अस्पतालमा देखिएको थिएन,84,128956,22050,5
nep_3614_4027164930,वेस्टर्न तन्दुरीले यसका ग्राहकहरूलाई राम्रो सेवा प्रदान गरेको कुरा जानकारीमा आएको छ,83,120592,22050,5
nep_3614_3857488810,नयाँ आविष्कारका क्षेत्रमा योङ इनोभेसन्सले पुर्‍याएको योगदानको सम्मान गर्न सक्नुपर्छ,83,132109,22050,5
nep_0546_8872553757,खटजात्राक्रममा पुजारीद्वारा घण्टी बजाउने चमर डोलाउने कार्य अविच्छिन्न भइरहेको हुन्छ,83,131220,22050,5
nep_3614_7603661286,नेपाल क्रेडिट एण्ड कमर्स बैङ्क लिमिटेडले डोटीको दिपायलमा एटिएम सेवा विस्तार गरेको छ,83,131000,22050,5
a69d3ca989,पशुपतिनाथको मन्दिर सांस्कृतिक सम्पदाअन्तर्गत युनेस्को विश्व सम्पदा क्षेत्रमा पर्दछ।,83,125685,22050,5
nep_2027_4199215152,स्टान्डर्ड चार्टर्ड बैङ्क नेपाल लिमिटेडले विभिन्न आर्थिक क्षेत्रहरूमा लगानी गरेको छ,83,116608,22050,5
