filename,text,total
e2423706f1,नेपालको पश्चिम भागमा,20
00ad9f58ee,नैष्ठिक ब्राह्मण थिए,20
e98f52798b,यस क्षेत्रमा पर्दछन्,20
af44cb3960,संस्कृत पढ्न गएकाहरू,20
00a80b4c8a,मेट्रोको निर्माण सन्,20
549a4cec3d,मानसपटलमा बसेका केही,20
ff6a1da64a,तिनको कुलनाम काम्बले,20
4f81ec496c,भारतमा इस्लामको आगमन,20
7a761baded,नभन्दै उनले त्यहाँको,20
8dda7c6364,हेरौँ लज्जाको अन्तिम,20
7ab3e7b6df,सेवा पुरस्कार प्रदान,20
5459ec5593,नाइकी इङ्क सामेल छन्,20
4f7459fa60,षष्ठी व्रतको प्रसङ्ग,20
a8f458adb4,श्रेणीमा राखिदिनुभएछ,20
1152faa7a0,किराँत भाषाको हुनुको,20
e94c61f39c,सङ्कटकालमा माओवादीले,20
543c2e37d4,काजक्रिया गरेर ढुक्क,20
16578514cf,लेन दुई रेलमार्ग छन्,20
e96f891cf7,एकै इलाकामा रहेकाहरू,20
e97c19ac65,मिलेर काम गरको जस्ता,20
4fdca69105,लागि सबैभन्दा प्रमुख,20
e1d4361860,धेरै प्रमुख देशहरूको,20
e1d339e8fd,एउटी व्रतालु महिलाका,20
54740133d3,राखेका खसि बाख्रालाई,20
54a2ad323b,स्थापित मन्त्रालय हो,20
7a63c53676,व्यस्तताबाट केही समय,20
165b59570e,त्यसपछि उनको सम्पर्क,20
549a2a9863,यस नक्षत्रमा जन्मिने,20
4fa94d3a6b,विचार कहिल्यै गरेनन्,20
e1df27d2c5,यसको दशकमा जनसङ्ख्या,20
7a3d16736a,आदर्श मान्दै राखिएको,20
54863c2048,किशोर कुमार इन्दौरका,20
80f02544b3,साथ दक्षिण कोलिग्राम,20
166036cea8,प्रमुख टर्मिनलहरूबाट,20
4faef936a0,गरिमामय संस्था प्रेस,20
7a9dc0f822,नेतृत्व गर्नु पनि हो,20
a9c2afd202,प्रसिद्ध थुप्रै निजी,20
35174a8309,टाँडु दैलेख जिल्लाको,20
5486b2ecd1,यस जिल्लामा क्षेत्री,20
7a672a1a3c,पनि नेतृत्व गर्दैरहे,20
119f3ba781,ढड्याएर प्राप्त भएको,20
8120a294d4,सहयोगी विज्ञका रूपमा,20
81062b42f0,छैमले नेपालको बागमती,20
7a50ad5179,किल्ला बनाउनलाई सोचे,20
350f9c66a6,पदार्थ भन्नाले समस्त,20
e95b47e93c,भएर उनीहरूले आन्दोलन,20
e1afba475a,जसो स्टेसनहरू हिज्जे,20
79ff1e336b,कोइरालाले दिएको गोली,20
168d0c6bc3,विना लिङ्कको फाइलहरू,20
4f883e0c31,सकिने व्यवस्था रहेको,20
e1e29d4432,परिवर्तनहरू भएका छन्,20
1668e69594,नरकको प्राप्ति हुन्छ,20
b056996318,सबैको आँखाको कसिङ्गर,20
8147dafecb,वन्यजन्तु तथा चराहरू,20
1165f8d627,जितुवा पनि साथीहरूको,20
114e0d0ee6,गाविसहरू मध्ये इस्मा,20
8116a528fc,बक्सेपछि सेनामा मेरो,20
80f556c601,चेल्सी कप्तान टेरीले,20
160a5722d0,शाहजहाँको पनि कब्र छ,20
