path,labels,predicted_label,wer,wer_accuracy,cer,cer_accuracy
D:\Programming\Projects\major_project\Codes\ASR\data\audio\nep_2099_0456476554.flac,विश्व विषयक मन्त्रीस्तरीय अन्तर्राष्ट्रिय सम्मेलनमा भाग लिन बङ्लादेशको राजधानी ढाका प्रस्थान गर्नुअघि त्रिभुवन अन्तराष्ट्रिय विमानस्थलमा सञ्चारकर्मी बिच उनले सो कुरा बताए,विश्व विषयक मन्त्रिस्तरिय अन्तर्राष्ट्रिय सम्मेलनमा भाग लिन बङ्नादेशको राजधानी ढाका पनस्तान गर्नुअघि त्रिभुवन र अन्तर्राष्ट्रिय विभानस्थलमा सञचारकर्मीबिच उनले सो कुरा बताय,0.381,0.619,0.08235294117647059,0.9176470588235294
D:\Programming\Projects\major_project\Codes\ASR\data\audio\nep_0546_2868510042.flac,राजा ज्ञानेन्द्र शाहले दाइजो बकस दिएको घरजग्गा जबरजस्ती सरकारी ट्रस्टमा राखिएको भन्दै पूर्वअधिराजकुमारी प्रेरणाराज्यलक्ष्मी सिंह न्यायका लागि सर्वोच्च अदालत पुगिन्,राजा ज्ञानेन्द्र शाहले दाइजो बकस दिएको घरजग्गा जबजती सरकारी ड्रस्टमा राखिएको भन्दै पूर्व अधिराजकुमारी प्रेरणा राज्य लक्ष्मी सिंहन्यायका लागि सर्वच अतलात पुगिन्,0.5,0.5,0.08588957055214724,0.9141104294478528
D:\Programming\Projects\major_project\Codes\ASR\data\audio\nep_3997_2276753961.flac,आन्तरिक राजस्व कार्यालय भैरहवा अन्तर्गत रुपन्देहीको सिद्धार्थनगर नगरपालिका लुम्बिनी नगरपालिका तिलोत्तमा नगरपालिकामा मूल्य अभिवृद्धि करमा दर्ता छ,आन्तरिक राजस्व कार्यलय भैरवा अन्तर्गत रूपनदेहीको सिद्धार्थनगरनगरपालिका लुम्बिनी नगरपालिका तिलोत्तमा नगरपालिकामा मूल्य अभिवृद्धि कर्मादर्ता छ,0.412,0.5880000000000001,0.04861111111111111,0.9513888888888888
D:\Programming\Projects\major_project\Codes\ASR\data\audio\nep_2099_4853806205.flac,वेल्स उन्नाइस सय अन्ठानब्बेमा सान डिएगोमा बसाई सरे र एउटा आवासिय बजारले त्यहाँबाट हटाएपछि फ्लोरिडाको सेन्ट पिटर्सबर्गमा नै पुनर्स्थापित भए,वेल्स उन्नाइस सय अन्छनब्बेमा सान डिएगोमा बसाई सरे र एउटा आवश्य बजारले त्यहाँ बाट हटाएपछि फ्लोरिडागो सेन पिटर्सबर्गमा नै पुनर्स्थापित भए,0.3,0.7,0.06521739130434782,0.9347826086956522
D:\Programming\Projects\major_project\Codes\ASR\data\audio\nep_3960_8205149857.flac,प्रथम सगरमाथा आरोही एडमन्ड हिलारीको सहयोगमा बनेको कुन्दे अस्पतालले पर्यटक तथा खुम्बु क्षेत्रका स्थानीय बासीको उपचारमा ठुलो योगदान दिएको छ,प्रथम सगर माथा आरोही एडमन हिलारीको सहयोगमा बनेको कुन्दै अस्पतालले पर्यटक तथा खुम्बु क्षेत्रका स्थानीय बासीको उपचारमा ठुलो योगदान दिएको छ,0.2,0.8,0.029197080291970802,0.9708029197080292
D:\Programming\Projects\major_project\Codes\ASR\data\audio\nep_2099_4208594844.flac,किरण यादव त्रिभुवन विश्वविद्यालय पद्मकन्या क्याम्पसबाट अर्थशास्त्रमा स्नातक किरण यादव समानुपातिकतर्फ नेपाली काङ्ग्रेसका सभासद् हुनुहुन्छ,किरन यादव त्रिभुवन विश्वविद्यालय पद्मकन्या क्याम्पसबाट अर्थशास्त्रमा स्नातक किर यादव समानुपादिक तर्फ नेपाली काङ्ग्रेसका सभासद् हुनुहुन्छ,0.267,0.733,0.029411764705882353,0.9705882352941176
D:\Programming\Projects\major_project\Codes\ASR\data\audio\nep_0546_4896619679.flac,यस्तो उपनिवेश दक्षिण अमेरिका र फिलिपिन्सका स्पेनी उपनिवेशहरू तथा इस्ट इन्डिजका डच क्षेत्रहरूमा बेलायती आक्रमणहरूका लागि सहायक हुन सक्छन्,यस्तो उपनिवेश दक्षिण अमेरिका र फिलिपिन्सका स्पेनी उपनिवेसहरू तथा स्ट इन्डेसका डच क्षेत्रहरूमा बेलायती आक्रमणहरूका लागि साहायक हुन सक्छन्,0.211,0.789,0.03676470588235294,0.9632352941176471
D:\Programming\Projects\major_project\Codes\ASR\data\audio\nep_0546_2708621810.flac,नेपाली भाषाका निबन्ध लेखक तथा मदन पुरस्कार पुस्तकालयका संस्थापक दीक्षितले बनारस हिन्दु विश्वविद्यालयबाट स्नातकाेपाधि प्राप्त गरेका छन्,नेपाली भाषाका निबन्ध लेखक तथा मदन पुरस्कार पुस्तकालयका संस्थापक दीक्षितले बनारस हिन्दू विश्वविद्यालयबाट स्नातककोपाधिक प्राप्त गरेका छन्,0.118,0.882,0.029850746268656716,0.9701492537313433
D:\Programming\Projects\major_project\Codes\ASR\data\audio\nep_5687_9784939181.flac,नारायणी नदीको पुल तरेपछि सुरु हुने पश्चिमाञ्चल विकास क्षेत्र लुम्बिनी अञ्चल र नवलपरासी जिल्लाको सबैभन्दा पहिले आउने ठाँउ गैँडाकोट हो,नारायरी नदीको पुल्तरेपछि सुरु हुने पश्चिमाञ्चल विकास क्षेत्र लुम्बिनी अञ्चल र नबलपरासी जिल्लाको सबैभन्दा पहिले आउनेठाउँ गैडाकोट हो,0.35,0.65,0.05303030303030303,0.946969696969697
D:\Programming\Projects\major_project\Codes\ASR\data\audio\nep_6834_4282359735.flac,रेखा थापा गौरी मल्ल सुस्मिता कार्कीदेखि प्रिया रिजाल जस्ता नायिकाहरूको दाम्पत्य जीवनका पानाहरू चलचित्रका पर्दामा देखे जस्तो सुखद छैन,रेखा थापा गौरीमल्ल सुस्मिता कार्की देखि प्रिया रिजाल जस्ता नायिकाहरूको दामपत्य जीवनका पानाहरू चलचित्रका पर्दामा देखेजस्तो सुखत छैन,0.421,0.579,0.03787878787878788,0.9621212121212122
