,Words,Frequency
0,।,9747
1,छ,6613
2,र,5490
3,पनि,3940
4,भएको,2219
5,गरेको,1836
6,छन्,1689
7,कुनै,1672
8,हो,1616
9,वा,1595
10,थियो,1569
11,लागि,1488
12,तथा,1474
13,गर्न,1467
14,प्रसारण,1332
15,गर्ने,1328
16,प्रकाशित,1325
17,सामग्रीहरू,1287
18,रहेको,1191
19,भने,1131
20,हजार,1049
21,एक,976
22,हुन्,975
23,नै,951
24,अन्य,921
25,गरिएको,852
26,यो,822
27,हुने,792
28,लाख,759
29,सम्पूर्ण,719
30,गरी,709
31,यसमा,709
32,अनुमति,691
33,अनुरोध,687
34,गरेका,686
35,विद्युतीय,680
36,थिए,677
37,सरकारले,675
38,काम,670
39,माध्यमबाट,668
40,सम्पत्ति,659
41,बाहेक,658
42,गर्नुअघि,653
43,नेपाल,648
44,छापा,648
45,पुनःप्रकाशन,644
46,स्रोतहरू,643
47,खुलाइएका,643
48,डिस्कवरी,643
49,रातोपाटीमा,643
50,नेटवर्कका,643
51,न्युज,643
52,लिनुहुन,643
53,तर,634
54,कारण,627
55,जानकारी,608
56,गर्दै,606
57,अध्यक्ष,598
58,उनले,557
59,उहाँले,556
60,भन्ने,524
61,प्रदेश,519
62,केही,511
63,भएका,507
64,हुन,482
65,करोड,482
66,प्रमुख,481
67,मा,472
68,प्रधानमन्त्री,455
69,बताए,455
70,दुई,451
71,बताउनुभयो,443
72,अनुसार,432
73,आर्थिक,431
74,छैन,426
75,प्रहरी,423
76,प्रतिशत,418
77,गरेर,417
78,भन्दै,416
79,स्थानीय,411
80,१,408
81,आफ्नो,406
82,सय,406
83,जनाएको,405
84,दिन,404
85,रहेका,403
86,भयो,402
87,नेपाली,401
88,आएको,394
89,निर्माण,393
90,कोरोना,390
91,बढी,380
92,व्यवस्था,373
93,समेत,368
94,अहिले,368
95,वर्ष,367
96,तीन,364
97,जना,342
98,विकास,335
99,जिल्ला,326
100,निर्णय,325
101,बैठकमा,320
102,उक्त,320
103,गर्दा,317
104,सबै,314
105,सरकार,313
106,पार्टी,313
107,दिएको,312
108,को,309
109,हुन्छ,307
110,स्वास्थ्य,306
111,विभिन्न,304
112,गते,296
113,पहिलो,290
114,कार्यालय,289
115,गरे,289
116,गर्नुभएको,286
117,रुपैयाँ,286
118,गर्नुपर्ने,284
119,रुपमा,283
120,भए,282
121,डा,281
122,१०,280
123,दिए,280
124,यस,279
125,अर्ब,278
126,नेता,278
127,दिने,274
128,रूपमा,274
129,राष्ट्रिय,273
130,समस्या,273
131,यस्तै,273
132,क्षेत्रमा,271
133,अवस्था,268
134,बजेट,268
135,कुरा,267
136,केन्द्रीय,263
137,सो,263
138,सडक,262
139,माग,260
140,त,260
141,छलफल,259
142,विधेयक,258
143,मृत्यु,258
144,उल्लेख,257
145,नयाँ,254
146,धेरै,254
147,समय,253
148,आवश्यक,253
149,उनको,252
150,भनाइ,251
151,६,250
152,राजनीतिक,249
153,मात्र,246
154,भइरहेको,245
155,२,244
156,सदस्य,243
157,सुरु,240
158,अवस्थामा,240
159,प्राप्त,239
160,प्रहरीले,239
161,विषयमा,237
162,सांसद,235
163,थप,235
164,जारी,233
165,देखिएको,232
166,सरकारको,232
167,पुगेको,230
168,क्रममा,227
169,पाँच,226
170,सार्वजनिक,221
171,खर्च,221
172,भनेर,220
173,सामाजिक,218
174,अघि,218
175,राष्ट्रपति,212
176,गत,209
177,गर्नुभयो,208
178,मात्रै,206
179,११,206
180,समयमा,205
181,सञ्चालन,204
182,अधिकारी,203
183,साथै,203
184,ओलीले,202
185,योजना,202
186,नेकपा,200
187,बैठक,199
188,करिब,198
189,कार्यक्रम,198
190,हुँदा,198
191,नेपालको,197
192,मन्त्री,197
193,आएका,196
194,४,195
195,रकम,195
196,भएपछि,195
197,३,193
198,५,189
199,२०,188
200,चार,187
201,१५,186
202,दिनुभयो,185
203,बताउनु,185
204,परीक्षण,184
205,समिति,184
206,नागरिकता,183
207,अब,183
208,भएकाले,183
209,रु,182
210,नभएको,181
211,असार,181
212,सक्ने,180
213,भएर,178
214,सहयोग,178
215,५०,175
216,जनाको,175
217,संख्या,175
218,सबैभन्दा,174
219,आज,173
220,परेको,171
221,सम्पन्न,171
222,सेवा,168
223,कृषि,167
224,ठूलो,166
225,त्यो,164
226,सन्,163
227,वर्षीय,162
228,यही,161
229,यसअघि,161
230,ती,161
231,घोषणा,159
232,पर्ने,159
233,भन्नुभयो,159
234,दोस्रो,159
235,नेपालमा,158
236,सोही,157
237,आग्रह,157
238,पछिल्लो,156
239,का,156
240,सरकारी,156
241,यस्तो,155
242,बुधबार,155
243,देखिन्छ,155
244,उनी,154
245,एवं,154
246,होइन,154
247,श्रेष्ठ,153
248,३०,153
249,कम,152
250,लागेको,152
251,हाल,151
252,हाम्रो,151
253,बाँकी,150
254,आगामी,150
255,१२,150
256,साथ,150
257,आरोप,149
258,गएको,149
259,तयारी,149
260,वर्षको,148
261,हुँदै,147
262,वटा,147
263,राजीनामा,147
264,कि,146
265,उत्पादन,146
266,खरिद,145
267,यसको,145
268,प्रयोग,145
269,शर्मा,145
270,आउने,144
271,संशोधन,144
272,उच्च,144
273,विषय,144
274,बनेको,144
275,कार्यक्रममा,144
276,२५,144
277,कायम,143
278,नीति,143
279,भन्दा,143
280,८,143
281,पार्टीको,143
282,स्थानमा,143
283,उहाँको,142
284,बनाउने,142
285,गरिने,142
286,गभर्नर,141
287,बनाउन,141
288,जाने,141
289,एउटा,141
290,उद्योग,141
291,घर,141
292,बेला,139
293,उपलब्ध,138
294,हुनेछ,138
295,त्यस्तै,136
296,बसेको,136
297,राहत,135
298,संक्रमण,134
299,बैठकले,134
300,अर्को,134
301,मूल्य,134
302,वडा,134
303,क्षेत्र,133
304,अगाडि,133
305,संक्रमित,133
306,प्रदेशका,133
307,पटक,133
308,पूरा,133
309,गर्नु,132
310,तयार,132
