headings,paras,label
‘लभ स्टेसन’ भियतनाम र इन्डोनेसियामा,"नेपाली कथानक फिल्म ‘लभ स्टेसन’ को टिम यति बेला भियतनाम र इन्डोनेसियामा छ । फिल्मको गीत छायांकनका लागि अभिनेता प्रदीप खड्का, अभिनेत्री जसिता गुरुङ, निर्माता गोविन्द शाही, कोरियोग्राफर शिशिर खाती, क्यामेरा पर्सन आलोक शुक्लासहितको टिम यी देश पुगेका हुन् ।",entertainment
चाडबाडलगत्तै तरकारी सस्तियो,दसैंको मुखमा अस्वाभाविक बढेको तरकारी तथा फलफूलको भाउ घट्न थालेको छ । उत्पादन वृद्धिसँगै सहज आपूर्तिका कारण मूल्य घटेको हो ।,business
किङ्गफिसर बियर नेपाली बजारमा  ,एशियाकै ठूलो बियर कम्पनी मध्येको युनाइटेड ब्रुअरीज लिमिटेडले यति ब्रुअरीसँगको सहकार्यमा किङ्गफिसर बियर बजारमा ल्याएको छ । ,business
अर्बपतिका आँखा अन्तरिक्षतिर,"संसारका धनाढ्यहरू अन्तरिक्ष यात्रालाई सस्तो र व्यावसायिक रूपमा साकार बनाउने अभियानमा सामेल हुने क्रम बढ्दो छ । यिनैमध्येका हुन् अमेरिकी अर्बपति इलन मस्क, जेफ बेजोस् र बेलायती टाइकुन रिचर्ड ब्रानसन ।",business
 ‘आई एम सरी’ भन्दै सौगात,निकेश खड्का निर्देशित फिल्म ‘फाटेको जुत्ता’ को हालै सार्वजनिक गीतमा अभिनेता सौगात मल्ल र प्रियंका कार्की फिचरिङ छन् । जसमा सौगातले प्रियंकासँग माफी माग्ने मुडमा फकाइरहेका छन् ।,entertainment
पोखरा कप : आर्मीलाई डफिन्सको धक्का,अधिकांस दोस्रो रोजाइका खेलाडी उतारेको त्रिभुवन आर्मी क्लबविरुद्ध क्यामरुनी क्लब डफिन्स टिम फेमिलीले फराकिलो गोलअन्तरले जित हासिल गर्दै सेमिफाइनल तय गरेको छ ।,sports
च्याम्पियन्स लिग : लिभरपुल र टोटेनहमलाई जीवनदान,मोहम्मद सलाहले पहिलो हाफमा गरेको गोल र खेलको अन्तिम समयमा गोलरक्षक एलिसन बेकरले गरेको सानदार बचाउमा लिभरपुल युरोपेली च्याम्पियन्स लिग फुटबलको नकआउट चरणमा पुगेको छ ।,sports
नाटकमा नाजिर,"चार वर्षयता नाजिर हुसेनले चारै वटा फिल्म खेले । फिल्मले दर्शकको मन जिते पनि । उनलाई भने फिल्मी दुनियाँमा आफ्नो कला अझै खुल्न नसकेको भन्ने लाग्छ । भने पनि, ‘अझै बेस्ट काम दिन सकेकै छैन ।’",entertainment
बूढीगण्डकीमा विवाद छैन : प्रधानमन्त्री,अमेरिकामा रहेका प्रधानमन्त्री केपी शर्मा ओलीले १२ सय मेगावाटको जलाशययुक्त बूढी गण्डकी जलविद्युत् आयोजना चिनियाँ कम्पनी गेजुवालाई निर्माण गर्न दिने विषयमा कुनै विवाद नभएको दाबी गरेका छन् ।,business
दुई तिहाइ पुनर्निर्माण हुनै बाँकी,भूकम्प गएको तीन वर्षको अवधिमा पाँचौंपटक पुनर्निर्माण प्राधिकरणको प्रमुख कार्यकारी अधिकृत (सीईओ) सरकारले नियुक्त गरेको छ ।,business
तरकारीमा सिन्डिकेट: ९८ स्टलको खारेजीबारे अन्योल,कालीमाटी फलफूल तथा तरकारी बजार विकास समितिअन्तर्गत सञ्चालित ९८ स्टलको सम्झौता खारेज प्रक्रियामा अन्योल देखिएको छ ।,business
"चर्या नृत्य: पुराना भन्छन्– लुकाऔं , नयाँ भन्छन्– देखाऔं","चर्यागुरु चन्द्रमान मुनिकार एक दिन आफ्ना चेलाचेलीलाई नृत्य सिकाइरहेका थिए । चर्या नृत्यको प्रचारको लक्ष्य लिइरहेका उनलाई पछि उनका गुरु राजेन्द्र श्रेष्ठ लगायतले झपारे । ‘चर्याको अनुशासन मिच्नु भएन,’ गुरुको भनाइ थियो, ‘यसलाई बजारिया बनाउनु ठीक होइन ।’",entertainment
नेपालद्वारा एमसीसी नौ विकेटले पराजित,नेपालले मेरिलेबोन क्रिकेट क्लब (एमसीसी) माथि ९ विकेटको जित हात पार्दै क्रिकेटको मक्का लर्ड्समा पुनरागमन गरेको छ । प्रतिकूल मौसमका कारण ६ ओभरको खेलमा ४१ रनको लक्ष्य सजिलै ८ बल अगाडि पूरा गर्दै नेपालले एकदिने ट्वान्टी–२० त्रिकोणात्मक शृंखलाको पहिलो खेलमा जित हासिल गरेको हो ।,sports
करको त्रासले नेप्से घट्यो,आन्तरिक राजस्व विभागले बोनस र हकप्रद सेयरको लागत मूल्य गणना गर्दा सेयरको अंकित चुक्ता मूल्यलाई लागत मानेर कर असुली गर्न निर्देशन दिएपछि बजार ओरालो लागेको छ ।,business
‘एयरलाइन्सको नाफा घट्ने’,अन्तर्राष्ट्रिय हवाई यातायात एसोसिएसनले सन् २०१८ मा आफ्नो नाफा १२ प्रतिशतले कम भई करिब ३४ अर्ब डलर मात्रै हुने प्रक्षेपण गरेको छ । इन्धनको मूल्य वृद्धि र श्रमिकको मूल्य बढेको भन्दै एसोसिएसनले यस्तो आकलन गरेको हो ।,business
हिल्साबाट १० हजार मानसरोवर,हिल्सा नाका हुँदै यस वर्ष ९ हजार ९ सय १५ भारतीय तीर्थयात्री मानसरोवर–कैलाशतर्फ गएका छन् । हिल्सा नाका भएर चीनको तिब्बतस्थित कैलाश र मानसरोवर तीर्थ गर्ने भारतीयको संख्या यस वर्ष घटेको छ ।,business
भारतीयकाे अान्दाेलनले जोगबनी नाका अबरुद्ध,भन्सारले जाँचपास ढिलो गर्दा मालवाहक ट्रकको जामले दैनिक जीवन कष्टकर बनेको भन्दै स्थानीयले भारततर्फको आईसीपीबाट ट्रक बाहिर निस्कन नदिदा जोगबनी नाकामा आयात निर्यात अवरुद्ध भएको छ ।,business
खेलाडीलाई सदस्यता राजनीति कि अधिकार ?,अन्तर्राष्ट्रिय क्रिकेट परिषद् (आईसीसी) को शनिबार कार्यसमितिको बैठक दुबईमा बस्दै छ । दुई दिनअघि निर्वाचित नेपाल क्रिकेट संघ (क्यान) को विशेष साधारण सभा बसेको थियो । आईसीसीकै रोहबरमा बनाइएको सल्लाहकार समितिमार्फत आएको प्रस्तावित विधान क्यानले उक्त साधारण सभाबाट हुबहु पारित गर्नुपर्ने थियो ।,sports
फ्यानको धम्की,कलाकारहरू आफ्नो सम्पत्ति भनेकै फ्यान हुन् भन्ने गर्छन् । बलिउड अभिनेता वरुण धवनचाहिँ आजकल यसो भन्न सक्दैनन् । उनी फ्यानविरुद्ध नै मुद्दा हाल्न बाध्य भएका छन् । यसै साता उनले एक युवतीविरुद्ध प्रहरीमा उजुरी दिएका छन् । ,entertainment
‘भुइँमान्छे’ को नयाँ गीत,"लास चिर्ने एक अधबैंसे युवकको मुख्य भूमिका रहेको फिल्म ‘भुइँमान्छे’ को आइतबार नयाँ गीत ‘जिन्दगी एउटा गीत हो...’ सार्वजनिक गरिएको छ । गीतमा फिल्मका मुख्य अभिनेता रमेश बुढाथोकी र सिपोरा गुरुङ फिचरिङ छन् । 
",entertainment
सहयोगीको भरमा भन्सार,हिल्सा नाकालाई सरकारले बेवास्ता गरेको स्थानीयको गुनासो छ । सरकारी बेवास्ताका कारण यारी भन्सार कार्यालय पुन:स्थाना भएको छैन । उत्तरी सीमा हिल्साको भन्सार कार्यालय दुई सहयोगीको भरमा छ ।,business
ईपीएलः उपाधि जित्ने आशामा ललितपुर ,ललितपुर प्याट्रियट्सका मालिक किशोर महर्जन गत वर्षको टिभिएस एभरेष्ट प्रिमियर लिग (ईपीएल) सम्झिँदा अहिले पनि थकथक हुन्छन् ।,sports
नेपाल–चीन ऊर्जा संयन्त्रको पहिलो बैठक अर्को महिना,नेपाल र चीनबीच ऊर्जासम्बन्धी सहकार्यका लागि गठित संयन्त्रको पहिलो बैठक तय भएको छ । ऊर्जा मन्त्रालयका अनुसार नेपाल–चीनबीचका ऊर्जा अधिकारी सम्मिलित संयन्त्रको बैठक सेप्टेम्बर २७ र २८ मा काठमाडौंमा बस्नेछ ।,business
मेयर कप फुटबल सुरु,तेस्रो मेयर कप फुटबल प्रतियोगिता हेटौंडामा सुरु भएको छ । शनिबार उद्घाटन खेलमा डिफेन्डिङ च्याम्पियन वडा नम्बर ७ लाई वडा नम्बर १ को पाथीभरा क्लबले २–१ ले हराएको छ । ,sports
रुकुमकोटमा धमाधम थपिँदै होटल ,वैदेशिक रोजगारीबाट फर्किएका विनोद केसीले २१ लाख रुपैयाँ लगानी गरी छिप्रीदहमा ‘बीएलबी युनिक गेस्ट हाउस’ सञ्चालनमा ल्याएका छन् । दुई महिनाअघि सञ्चालनमा ल्याएको होटल व्यावसायबाट उनी सन्तुष्ट छन् ।,business
धुर्मुसको जन्मदिनमा रौतहटमा एकीकृत वस्ती शिलान्यास,"कलाकार सिताराम कट्टेल (धुर्मुस)ले आफ्नो जन्मदिन पारेर रौतहटका बाढीपिडितहरुका लागी एकीकृत नमुना सन्तपुर बस्तीको शिलान्यास गरेका छन् । 

चन्द्रपुर नगरपालिका– ८ स्थित सन्तपुर गाउँका ४५ बाढीपिडितहरुका लागी धुर्मुस–सुन्तली फाउण्डेशनको चौथो परियोजना अन्तर्गतको ‘एकीकृत नमुना सन्तपुर बस्ती’ शिलान्यास गरिएको हो ।",entertainment
रग्बी सेभेन्सको आशा,नेपाली टोलीका कप्तान कृष्ण क्षेत्रीले सिंगापुरमा हुने एसिया रग्बी सेभेन्स ट्रफीमा राम्रो गर्ने आशा रहेको बताएका छन् ।,sports
पिपुल्स च्वाईसमा सन्दीपको दाबेदारिता,"गत वर्ष सन्दीप लामिछाने जति चर्चा नेपाली खेलकुदमा सायदै अरु रहे । नेपाली यू–१९ कप्तान बन्दै बंगलादेश प्रिमियर लिग, पाकिस्तान सुपर लिगको ड्राफ्ट हुँदै इन्डियन प्रिमियर लिग र क्यारेबियन प्रिमियर लिगमा छानिनुका साथै नेपाललाई वान डे अन्तर्राष्ट्रिय मान्यता दिलाउँदा सन्दीपको वाह वाही चुलिएको थियो । ",sports
द एक्टको पहिलो भिडियो,सांगीतिक समूह ‘द एक्ट’ स्थापना भएको एक वर्षजति भयो । आ–आफ्नो सर्कलमा नाम कमाएका चार म्युजिसियनले खोलेको उक्त मोर्डन अल्टरनेटिभ रक ब्यान्डले आफ्नो पहिलो म्युजिक भिडियो ‘हराएको थिएँ म...’ लन्च गरेको छ । ,entertainment
प्रधानमन्त्री कप भलिबल फागुनमा,नेपालगन्ज– प्रधानमन्त्री कप महिला भलिबल प्रतियोगिताको पाँचौं संस्करण फागुन ३ देखि ७ सम्म नेपालगन्ज रंगलशालास्थित कभर्डहलमा हुने भएको छ।,sports
ओली र मोदीले अरुण तेस्रोको शिलान्यास गरेपछि स्थानीय खुसी,अरुण तेस्रो जलविद्युत् आयोजना प्रभावित क्षेत्र नुमका दुर्गाबहादुर पराजुली अब परियोजना निर्माण हुनेमा ढुक्क छन् । शुक्रबार साँझ नेपालका प्रधानमन्त्री केपी ओली र भारतीय समकक्षी नरेन्द्र मोदीले एकैसाथ परियोजना शिलान्यास गरेपछि स्थानीयमा खुसी छाएको छ ।,business
सेज सञ्चालनमा समस्या,यहाँस्थित विशेष आर्थिक क्षेत्र (सेज) मा उद्योग स्थापनाका लागि शक्ति मिनरल्स प्रालिले आयात गरेका १७ ट्रक औद्योगिक उपकरण एक सातादेखि भैरहवा भन्सार परिसरमा थन्किएका छन् ।,business
मायाको एन्टिबायोटिक माग्दै गम्भीर,अधिकांश गीत मायाप्रेमकै हुन्छन् । त्यसमा पनि प्रेमी वा प्रेमिकाले एकअर्काको प्रशंसामा भनेका शब्दमै बढी फूलबुट्टा भरेर गीत रचना गरिन्छ र गाइन्छ । तर यति बेला केही फरक शैलीको गीत चर्चामा छ ।,entertainment
स्टार बिनाको विश्वकप ?,"नेयमार, केयलिन एमबापे, लियोनल मेसी र क्रिस्टियानो रोनाल्डोविरुद्धको विश्वकप । कल्पना गर्न सकिन्छ र ? अर्को शब्दमा भन्ने हो भने विश्व फुटबलको सबैभन्दा ठूलो प्रतियोगिता, तर त्यसमा कोही पनि स्टार खेलाडी छैनन् ।",sports
‘नेपाली क्रिकेटको पोस्टमार्टम जरुरी’,नेपालले मलेसियामा बिहीबार सम्पन्न एसिया कप छनोट प्रतियोगितामा निकै निराशाजनक प्रदर्शन गर्‍यो । उपाधि दाबेदारको हिसाबमा मलेसिया भ्रमण गरेको नेपाल ६ राष्ट्रसम्मिलित प्रतियोगितामा चौथो भयो ।,sports
मैदान तयारी अन्तिम चरणमा,नेपालका अब्बल दर्जाका क्युरेटर अजय पाण्डे आइतबार दिउँसो चर्काे घाममा बहुप्रतीक्षित ‘रुस्लान धनगढी प्रिमियर लिग’ (डीपीएल) खेल हुने क्रिकेट मैदान सुम्सुम्याउँदै थिए ।,sports
शिवराम र भुवनलाई अग्रता,नेपाल नम्बर एक गल्फर शिवराम श्रेष्ठ र भुवन नगरकोटीले गल्फर पाइलट्स एनपीजीए क्लासिक २०१८ अन्तर्गत पहिलो दिन अग्रता बनाएका छन् । सूर्य नेपाल गल्फ टुरको छैटौं इभेन्टमा बुधबार शिवरामले फ्रन्ट नाइनमा २ अन्डर ३२ र ब्याक नाइनमा १ अन्डर ३३ स्कोर गर्दै समग्रमा ३ अन्डर ६५ अंक बनाए । समान अंक जोडेका भुवनले फ्रन्ट नाइनमा १ ओभर ३५ खेले पनि ब्याक नाइनको प्रदर्शनमा सुधार गर्दै ४ अन्डर ३० को स्कोर बनाए ।,sports
ईपीएलः भैरहवा ग्ल्याडिएटर्सलाई हराउँदै ललितपुर प्याट्रियट्स क्वालिफायर्समा,भैरहवा ग्ल्याडिएटर्सलाई ६ विकेटले हराउँदै ललितपुर प्याट्रियट्स टीभीएस एभरेष्ट प्रिमियर लिग (ईपीएल) को क्वालिफायर्समा प्रवेश गरेको छ । ,sports
"अक्षय उत्कृष्ट नायक, निर्जा उत्कृष्ट फिल्म ","बलिउडको सबैभन्दा प्रतिष्ठित पुरस्कार नेशनल फिल्म अवार्डमा रुस्तमबाट अक्षयकुमारलाई उत्कष्ट नायक र सोनम कपुर अभिनित  निर्जालाई उत्कृष्ट फिल्मको उपाधी दिइएको छ ।  

उत्कृष्ट नायिकाको उपाधी भने मलायलम फिल्म द फाउरफ्लाइबाट सुरभी सीएम मिनामिनुङ्गुले प्राप्त गरेकी छिन् । ",entertainment
आपूर्ति कम्पनी गठन गर्न दुई विकल्प,खाद्य संस्थान र नेसनल ट्रेडिङलाई गाभेर बन्ने राष्ट्रिय आपूर्ति कम्पनीको खाका तयार भएको छ । संस्थानलाई आपूर्ति कम्पनीका रूपमा पुन: संरचना गरी नेसनल ट्रेडिङको सम्पत्ति र दायित्वसमेत उक्त कम्पनीमा गाभ्ने सम्बन्धमा गठित कमिटीले दुई विकल्पसहितको प्रस्ताव सुझाएको छ ।,business
इटालीद्वारा पोल्यान्ड पराजित,क्रिस्टियानो बिरागीले अन्त्यतिर निर्णायक गोल गर्दै रोबेर्टो मान्चिनीले सम्हालेयता इटालीलाई प्रतियोगितामा पहिलो जित दिलाएका छन्  । अजुरीले नेसन्स कपमा सोरजोभमा भएको नेसन्स लिग ए को समूह ३ मा आइतबार पोल्यान्डमाथि १–० को जित हात पारेको हो  ।,sports
टोटेनहमको सहज जित,तोकिएको समयमै नयाँ मैदानमा खेल्न नपाएको विवादलाई पन्छाउँदै टोटेनहम हट्सपरले वेम्बली मैदानमा शनिबार फुलहमलाई ३–१ ले पराजित गरेको छ ।,sports
कुलेखानीको जेनेरेटर नेपालीले बनाउने,विद्युत् प्राधिकरणको ‘ब्याकअप’ का रूपमा रहेको कुलेखानी जलविद्युत् आयोजनाको विगत तीन सातादेखि बिग्रेको जेनेरेटर नेपाली प्राविधिकले मर्मत सम्भार गर्ने भएका छन् ।,business
मह जोडी सम्मानित,प्रतिभा सम्मान प्रबन्ध गुठीले वरिष्ठ कलाकार हरिवंश आचार्य र मदनकृष्ण श्रेष्ठसँगै भिक्षुणी डा. अनुजा गुरुमालाई सम्मान गरेको छ । ,entertainment
एभरेस्ट प्रिमियर लिग : विदेशी खेलाडीमा सबैको भर,एभरेस्ट प्रिमियर लिग (ईपीएल) शनिबार कीर्तिपुरस्थित त्रिवि मैदानमा सुरु हुँदै छ । घरेलु क्रिकेटको ठूलो प्रतियोगिताका लागि सबै फ्रेन्चाइजी टोली तयार छन् ।,sports
टेलिकमको डाटा प्रयोगकर्ता बढे,नेपाल टेलिकमले चालु आर्थिक वर्षको फागुनसम्ममा आफ्नो डाटा सेवाका प्रयोगकर्ता १८ दशमलव १४ प्रतिशतले बढेको जनाएको छ । फागुन मसान्तसम्म डाटा सेवाका प्रयोगकर्ता ९९ लाख ५४ हजार ७ सय २२ पुगेको टेलिकमले जनाएको छ ।,business
'प्राकृतिक हिसाबले सुन्दर ठाउँ पोखरा नै लाग्छ',नायीका श्वेता खड्काले भनिन्- 'तालको छाल हेरिरहँदा दिन बितेको पत्तै पाउँदिनँ । त्यसैले प्राकृतिक हिसाबले सुन्दर ठाउँ पोखरा नै लाग्छ । कति पटक पुगें भन्ने गन्ती नै छैन ।' उनलाई थप के के मन पर्छ त?,entertainment
पेन्टिङ प्रभावित फेसन,चित्रदेखि प्रभावित भई फेसन डिजाइन गर्ने चलन नयाँ होइन । अन्तर्राष्ट्रिय फेसन उद्योगको इतिहास पल्टाउने हो भने सय वर्ष अघिदेखि नै यस्तो भएको पाइन्छ । ,entertainment
'सामाजिक सञ्जाल बन्द गरिएको छैन’,सञ्चार तथा सूचना मन्त्रालयले सामाजिक सञ्जाल बन्द हुने हल्ला भ्रामक भएको भन्दै विज्ञप्ति जारी गरेको छ । मन्त्रालयका प्रवक्ता ऋषिराम तिवारीले जारी गरेको विज्ञप्तिमा फेसबुकलगायत सामाजिक सञ्जाल प्रयोगकर्ताबाट पोस्ट गरी भ्रम फैलाउने टिप्प्णी गरेकोबारे मन्त्रालयको गम्भीर ध्यानाकर्षण भएको उल्लेख छ ।,business
नयाँ सरकार बनेपछि चारपटक मूल्य वृद्धि,प्रधानमन्त्री केपी ओलीको सरकार बनेपछि इन्धनको मूल्य चारपटक वृद्धि भएको छ । अन्तर्राष्ट्रिय बजारमा इन्धनको मूल्य बढेको भन्दै आयल निगमले चारपटक मूल्य बढाएको हो । निगमका अनुसार २०७४ चैत १९ गते पेट्रोलमा एक रुपैयाँ र डिजेल/मटितेलमा २/२ रुपैयाँ बढेको थियो ।,business
पारसको स्वरमा राष्ट्रकविको गीत,पारस नेपालले गाएको ‘कस्तो हुन्थ्यो कस्तो हुन्थ्यो...’ गीतको म्युजिक भिडियो युटयुबमा सार्वजनिक भएको छ ।,entertainment
‘योजना आयोगको समानान्तर संस्था’,"सरकारले नीति अनुसन्धान प्रतिष्ठान स्थापना गरी ‘थिंक टयांक’ का रूपमा अगाडि बढाउने भएको छ । प्रतिष्ठानको सदस्यमा चैतन्य मिश्र, मीना आचार्य, राजेन्द्रध्वज जोशी, सुरेन्द्र लाभ र गणेशमान गुरुङलाई तोकिएको छ ।",business
अवार्डको साथमा साहस,"नेपाल खेलकुद पत्रकार मञ्च (एनएसजेएफ) ले पल्सर स्पोर्ट्स अवार्ड २०७४ का लागि खेलपोसाक उत्पादक साहस स्पोर्ट्स प्रालिसँग सह–प्रायोजन सम्झौता गरेको छ । एकवर्षे सम्झौताअनुसार साहसले मञ्च, अवार्डका विजेता र मनोनयनमा परेका खेलाडीलाई विविध खेलसामग्री प्रदान गर्नेछ । ",sports
पोखरा र वालिङ फाइनलमा,पोखरा महानगरपालिका र वालिङ नगरपालिका प्रथम मेयर कप फुटबलको उपाधिलाई भिड्ने भएका छन् । शनिबार सेमिफाइनलमा पोखराले गोरखा नगरपालिकालाई ८–१ ले हराएको थियो । ,sports
सेलिब्रिटी आमाहरू,"बलिउड अभिनेत्री करिना कपुरले सुत्केरी भएको एक महिनामै शरीरको तौल घटाएको समाचारले चर्चा पाएको थियो । यसले पुष्टि गर्छ, सेलिब्रिटी आमाहरू आफ्नो शरीर र करिअर दुवैबारे संवेदनशील हुन्छन् । विश्व सुन्दरी ऐश्वर्या रायले छोरी पाएपछि फिल्म क्षेत्रमा पाएको अचिभमेन्ट सबैका लागि उदारहण नै बन्यो ।",entertainment
वीराङ्गनाको पोस्टर सार्वजनिक,"एक्सन जान्रामा बनेको नेपाली फिल्म ‘वीराङ्गना’ को पोस्टर सार्वजनिक गरिएको छ । यही असार २९ मा मुलुकभर रिलिज हुने फिल्मको पोस्टरमा मुख्य कलाकारका रूपमा अनुपविक्रम शाही, शिल्पा पोखरेल र पृथ्वीराज प्रसाईंलाई प्रस्तुत गरिएको छ । ",entertainment
डिपीएल अपडेट : रोमाञ्चक खेलमा रुपन्देहीको जित,रुस्लान धनगढी प्रिमियर लिग (डीपीएल) क्रिकेटको पहिलो दिनको दोस्रो खेलमा रुपन्देही च्यालेन्जर्सले महेन्द्रनगर युनाइटेडलाई २ रनले पराजित गरेको छ । ११२ रनको विजय लक्ष्य लिएर आएको महेन्द्रनगरले निर्धारित २० ओभरमा ८ विकेट गुमाइ १०९ रन मात्रै बनाउन सक्यो ।,sports
पकेट क्षेत्रकै आलुमा ऐँजेरु,लेकाली बस्तीको मुख्य खाद्य बाली र आम्दानीको प्रमुख स्रोतका रूपमा रहेको आलु यस पटक ऐँजेरु पलाउने र कुहिने भएपछि किसान चिन्तित छन् । धार्चे ४ को लाप्राक र ५ को गुम्दामा आलु बारीमै कुहिएको छ ।,business
आर्मी र केसीटीसी विजयी,कर्णाली प्रिमियर लिग (केपीएल) टी–२० प्रतियोगिताको आइतबार सम्पन्न खेलमा त्रिभुवन आर्मी क्लब र काठमाडौं क्रिकेट ट्रेनिङ सेन्टर (केसीटीसी) ले जित दर्ता गरेका छन् ।,sports
"आर्थिक वर्ष २०७५/७६ को मौद्रिक नीति सार्वजनिक, ब्याजदर घट्न सक्ने",डेढ वर्षयता लगातार रूपमा बढिरहेको ब्याजदर केही घट्ने अपेक्षा सरोकारवालाले गरेका छन् । मौद्रिक नीतिमार्फत राष्ट्र बैंकले बजारमा तरलता बढाउन विभिन्न कार्यनीति सार्वजनिक गरेपछि ब्याजदर घट्ने अपेक्षा गरिएको हो । ,business
ऋण विस्तार मोफसलमा बढी,उपत्यकामा भन्दा मोफसलमा बैंक तथा वित्तीय संस्थाको लगानी (ऋण) को विस्तार तीव्र दरमा भइरहेको भेटिएको छ । संघीयता तथा राजनीतिक स्थिरताले मोफसलमा आर्थिक वर्ष ०७४/७५ मा कर्जा विस्तारको दर उच्च बनाएको संकेत गर्ने जानकार बताउँछन् । ,business
मौरीबाट मनग्य आम्दानी,यो वर्ष मह बिक्रीबाट यतिका कमाइ होला भनेर राक्सिराङ ६ काकडाका आइतराम चेपाङले सोचेका थिएनन् । चार वर्षदेखि उनी स्थानीय जातको मौरीसँगै मुढेघारलाई विस्थापित गरी आधुनिक घार बनाए ।,business
चीनले गर्‍यो ‘न्यू सिल्क रोड’ को बचाउ,चिनियाँ अधिकारीहरूले बेइजिङको ‘न्यू सिल्क रोड’ बनाउने पहलको सोमबार बचाउ गरेको छ । मलेसियाले चीनद्वारा बनाइने दुइटा ठूला परियोजना रद्द गरेपछि बेइजिङको यो भनाइ सार्वजनिक भएको हो ।,business
 पुण्यमको पुनरागमन,"कुनै बेला यस्तो पनि थियो, ‘प्रतिबिम्ब’ ब्यान्डले राम्रै चर्चा बटुलेको थियो । विशेषगरी ‘कहाँ तिम्रो मायालुलाई छाडी राख्यौ...’ गीतले स्रोता रिझायो पनि । ब्यान्डले २०४८ मा ‘प्रतिबिम्ब–१’ एल्बम सार्वजनिक गर्‍यो । ",entertainment
दिदीबहिनी विजयी,नेपालकी मायांका राणाले नेपाल आईटीएफ जुनियर यू–१८ टेनिसअन्तर्गत सर्किट–२ मा मंगलबार दोहोरो जित पाएकी छन् । मायांकाले महिला सिंगल्स र डबल्समा सफलता पाइन् ।,sports
‘बिहे गरेको हिजोजस्तो लाग्छ’,ऐश्वर्या राय र अभिषेक बच्चन यसै वर्ष विवाहको १२ औं वार्षिकोत्सव मनाउने तरखरमा छन् । ऐश्वर्यालाई भने अझै हिजै मात्र विवाह गरेजस्तो लाग्छ रे !,entertainment
प्रमोदले गाए देउडा,सुगम संगीतमा अहिलेका लोकप्रिय गायकमध्येमा पर्ने प्रमोद खरेलले पहिलो पटक देउडा गाएका छन् । उनले गायिका अनिता चलाउनेसँग देउडा गाएका हुन् ।,entertainment
भुवन एक स्ट्रोकले अगाडि,भुवन नगरकोटीले रोयल नेपाल गल्फ क्लबमा तीन अन्डर ६५ खेल्दै सूर्य नेपाल काठमाडौं ओपन गल्फको पहिलो दिन मंगलबार शीर्षस्थान हासिल गरेका छन् । उनी डिफेन्डिङ च्याम्पियन रामे मगरभन्दा एक स्ट्रोक अगाडि छन् ।,sports
 “सिर्जनाले आशा जन्माउँछ”,"राजनीतिक अस्थिरता, सामाजिक विकृति, अनेक अभाव र समस्याले जेलिएको समयमा विकास, शान्ति, स्थिरता अनि समृद्धिको खोजी तीव्र हुन्छ । तर समृद्धि ल्याउन काम गर्ने संरचनाले ठीकसँग काम गर्न नसक्दा निराशा बढदै जान्छ । यसरी आम रूपमा बढेको निराशाको आयतन घटाउने सानो कुराले पनि निकै महत्त्व राख्छ ।",entertainment
